,N_Sierra,S_Sierra
1997-05-08,1661.229,0.0015729178
1997-05-09,1642.5973,0.00232518
1997-05-10,1623.0919,0.0
1997-05-11,1599.6318,0.0
1997-05-12,1574.836,0.0
1997-05-13,1548.813,0.0
1997-05-14,1524.1559,0.0
1997-05-15,1499.3529,0.0
1997-05-16,1472.5435,0.0
1997-05-17,1444.6444,0.0
1997-05-18,1414.6104,0.0
1997-05-19,1388.2781,0.0
1997-05-20,1358.6862,0.0
1997-05-21,1331.8303,0.0
1997-05-22,1307.2644,0.0
1997-05-23,1284.1334,0.0
1997-05-24,1291.4103,0.0
1997-05-25,1290.9822,0.0
1997-05-26,1287.4164,0.0
1997-05-27,1281.5807,0.0
1997-05-28,1266.9998,0.0
1997-05-29,1247.1719,0.0
1997-05-30,1221.4966,0.0
1997-05-31,1195.4954,0.0
1997-06-01,1167.4518,0.0
1997-06-02,1144.5767,0.0
1997-06-03,1119.9802,0.0
1997-06-04,1094.4719,0.0
1997-06-05,1093.6301,0.0
1997-06-06,1087.0718,0.0
1997-06-07,1071.2887,0.0
1997-06-08,1053.7933,0.0
1997-06-09,1036.1372,0.0
1997-06-10,1016.81146,0.0
1997-06-11,996.4499,0.0
1997-06-12,975.0741,0.0
1997-06-13,957.27374,0.00011542132
1997-06-14,957.082,0.0026462006
1997-06-15,944.4846,0.0017544549
1997-06-16,925.4425,0.0
1997-06-17,904.11664,0.0
1997-06-18,877.64825,0.0
1997-06-19,850.32306,0.0
1997-06-20,821.5585,0.0
1997-06-21,790.1093,0.0
1997-06-22,761.16455,0.0
1997-06-23,737.2981,0.0
1997-06-24,718.368,0.0
1997-06-25,693.92017,0.0
1997-06-26,666.82074,0.0
1997-06-27,636.68335,0.0
1997-06-28,605.342,0.0
1997-06-29,579.7514,0.0
1997-06-30,555.8846,0.0
1997-07-01,539.0896,0.0
1997-07-02,516.83606,0.0
1997-07-03,490.2636,0.0
1997-07-04,458.7617,0.0
1997-07-05,423.6136,0.0
1997-07-06,386.51013,0.0
1997-07-07,354.70953,0.0
1997-07-08,315.2911,0.0
1997-07-09,274.63522,0.0
1997-07-10,226.97125,0.0
1997-07-11,179.25948,0.0
1997-07-12,139.41548,0.0
1997-07-13,96.29097,0.0
1997-07-14,37.134865,0.0
1997-07-15,0.0,0.0
1997-07-16,0.0,0.0
1997-07-17,0.0,0.0
1997-07-18,0.0,0.0
1997-07-19,0.0,0.0
